id,name,marker,state,distance
Rcb47af6a-cb89-4718-b94a-1c255b64437b,State Route 152,Interlaken,CA,
R6fad385b-4aff-45f2-86f3-3079d3dbd0f8,State Route 152,Santa Cruz–Santa Claracounty line,CA,
Rfa4fb14b-8cdb-4617-b57b-34d525926da2,State Route 152,Gilroy,CA,
R10de522b-0182-4ce5-bbd4-22a64bfa79a0,State Route 152,Pacheco Pass,CA,
Rb1c62f57-3d99-443c-85e8-938344264f96,State Route 152,Los Banos,CA,
R642a8ef3-57e8-4dcd-84b1-c9d7af8dd5a5,State Route 152,Dos Palos Y,CA,
Re52433cb-73dd-4a04-aed3-d2272833472b,State Route 152,Califa,CA,
R22873cc0-c5ef-48c6-a92b-c2aece18e7a7,State Route 198,San Lucas,CA,
R2bf0795a-9cf6-4d87-aa35-474c61c364ab,State Route 198,Coalinga,CA,
R561e0f82-91fc-4267-9d4d-589c2c659b51,State Route 198,Lemoore Station,CA,
R9b6dfb01-06c2-43f4-9146-a4475ec19eb5,State Route 198,Lemoore,CA,
Ra84e9be7-20a8-47c6-902c-a05a84438105,State Route 198,Armona,CA,
Rb84bd281-5b09-4c73-98a9-0fe0a1fac687,State Route 198,Hanford,CA,
Rec119866-a9f1-435c-8e84-5132bc951089,State Route 198,Visalia,CA,
R9d00ed81-a5f6-4b57-a69d-8e464332c6e3,State Route 198,Farmersville,CA,
R0a20e73f-a288-4e7a-bb18-319fa17210ea,State Route 198,Lemon Cove,CA,
R81e48fca-228a-422e-ab60-0a448a324a22,State Route 198,Sequoia National Park boundary,CA,
R0c7a434d-3a39-4082-a7f4-68b9ff328396,U.S. Route 50,West Sacramento,CA,
Rb7621377-65b7-4dfd-be88-e646408b49b0,U.S. Route 50,Sacramento,CA,
R9e7a7489-ba92-483c-9c91-84dd2bef0142,U.S. Route 50,Rancho Cordova,CA,
Rb530c749-43dc-45d7-904c-a1e42befb83d,U.S. Route 50,Folsom,CA,
Ra4b1db5e-1923-4b9c-8ade-84d67e7a0c9c,U.S. Route 50,El Dorado Hills,CA,
